Cu_mode,freq_Cu_cm-1,Ni_mode,freq_Ni_cm-1,delta_cm-1,overlap
0,3543.601093,0,3511.396487,-32.20460600000024,0.8585075126322219
1,1487.171935,6,902.030518,-585.141417,0.7712289392035283
2,1428.976483,4,1026.90691,-402.069573,0.8753567848163273
3,1406.396072,5,951.70323,-454.69284200000004,0.7371252896708196
4,805.156233,3,1165.84095,360.684717,0.6050369643540239
5,753.168919,2,1202.637207,449.46828800000003,0.8293182305310843
6,619.321187,8,365.204635,-254.116552,0.6523043846962914
7,573.37112,7,389.279706,-184.09141400000004,0.8394116908234638
8,403.747651,1,1338.982675,935.235024,0.7225736384766955
9,224.974523,9,136.672063,-88.30246,0.9003894154375152
