,Ni_0,Ni_1,Ni_2,Ni_3,Ni_4,Ni_5,Ni_6,Ni_7,Ni_8,Ni_9
Cu_0,0.8585075126322219,0.007397850520154827,0.0020012244171367264,0.0017470000132168448,0.0023894209202071927,0.0048742950439038014,0.03845809435001401,0.008380608455815081,0.0891500670486185,0.31585711570154784
Cu_1,0.004499076942431967,0.2999854871875999,0.3760690996558952,0.07613635188118571,0.09159608011622129,0.09314400958173277,0.7712289392035283,0.009294265827611347,0.3737276842125828,0.08087432694830818
Cu_2,0.007811766937257602,0.34487285559712977,0.27681657160103185,0.053341412546304416,0.8753567848163273,0.12843364827836323,0.0085413229823653,0.03757169443654806,0.18890368819566344,0.028924248303258553
Cu_3,0.0038153231608967545,0.04501465165846603,0.045289853706374644,0.6451077469289933,0.08119384959216128,0.7371252896708196,0.06526953447755292,0.182333821363329,0.027229304035791452,0.00034141189058375893
Cu_4,0.0024671704048665416,0.005033624881799493,0.20682967717216608,0.6050369643540239,0.1635018379553208,0.2406472448510422,0.1473169056112399,0.4278985108367908,0.11731983849610167,0.05297327954229081
Cu_5,0.01471005960765452,0.1014360432611496,0.8293182305310843,0.01611033857251146,0.16643811997971242,0.024105543707940522,0.3793791181047758,0.25991511655198557,0.14925938010660572,0.02125096361154949
Cu_6,0.1268436287589186,0.4212349188525424,0.12962517016881844,0.016036822896256665,0.142289180310812,0.048607562195014636,0.4167480805383121,0.06598764339304376,0.6523043846962914,0.4886356356150646
Cu_7,0.0024345400667738775,0.036697729562147265,0.20403402366004336,0.35896726009415275,0.016622554622305413,0.4070933740666094,0.023723405384810364,0.8394116908234638,0.000951182913965146,0.03618227972395741
Cu_8,0.08591174053797684,0.7225736384766955,0.04527606691554077,0.00835573694716646,0.3775628711756009,0.040875389298849325,0.11957550915032412,0.06565781244421146,0.6520965108601168,0.2610052700036502
Cu_9,0.3853644308816353,0.027315483406606868,0.04011555753447423,0.01751671531697322,0.11684413634352236,0.04719679694632917,0.3369700557853198,0.008870249751020945,0.3422676263750994,0.9003894154375152
